hospital_name,address,city,latitude,longitude,specialties,insurers,rating,phone,website
Delhi Multicare Hospital 1,"Sector 107, Delhi",Delhi,28.649699,77.197649,cardiology|dermatology|oncology,Care Health|HDFC ERGO|ICICI Lombard,4.6,+91-5140958092,https://www.delhi1.example.com
Delhi Specialty Clinic 2,"Sector 3, Delhi",Delhi,28.624168,77.206155,dermatology|oncology|ophthalmology,Care Health|ICICI Lombard|Niva Bupa,4.6,+91-6720317315,https://www.delhi2.example.com
Delhi Multicare Hospital 3,"Sector 93, Delhi",Delhi,28.637179,77.094602,cardiology|dermatology|neurology|pediatrics|physiotherapy,HDFC ERGO|ICICI Lombard,4.4,+91-8808687077,https://www.delhi3.example.com
Delhi Specialty Clinic 4,"Sector 5, Delhi",Delhi,28.680969,77.264644,dental|ophthalmology|pediatrics|physiotherapy,HDFC ERGO|ICICI Lombard,4.4,+91-2420496689,https://www.delhi4.example.com
Delhi Multicare Hospital 5,"Sector 52, Delhi",Delhi,28.620174,77.184452,dental|oncology|ophthalmology,HDFC ERGO|ICICI Lombard,4.8,+91-8453968600,https://www.delhi5.example.com
Delhi Specialty Clinic 6,"Sector 116, Delhi",Delhi,28.58564,77.088847,dermatology|orthopedics|pediatrics,Care Health|HDFC ERGO,4.2,+91-7830093612,https://www.delhi6.example.com
Delhi Multicare Hospital 7,"Sector 81, Delhi",Delhi,28.5366,77.12751,dermatology|neurology|oncology|pediatrics|physiotherapy,ICICI Lombard|Niva Bupa,4.4,+91-6367057431,https://www.delhi7.example.com
Delhi Specialty Clinic 8,"Sector 112, Delhi",Delhi,28.656196,77.388834,cardiology|dental|oncology,Care Health|HDFC ERGO,4.2,+91-6380761708,https://www.delhi8.example.com
Delhi Multicare Hospital 9,"Sector 16, Delhi",Delhi,28.588189,77.254657,dermatology|ophthalmology|pediatrics|physiotherapy,HDFC ERGO|Star Health,4.2,+91-2223757073,https://www.delhi9.example.com
Delhi Specialty Clinic 10,"Sector 99, Delhi",Delhi,28.630209,77.278571,dermatology|neurology|oncology|orthopedics,ICICI Lombard|Niva Bupa|Star Health,4.1,+91-4377620025,https://www.delhi10.example.com
Delhi Multicare Hospital 11,"Sector 38, Delhi",Delhi,28.549791,77.142023,cardiology|ent|orthopedics|pediatrics,ICICI Lombard|Niva Bupa|Star Health,4.1,+91-2004528470,https://www.delhi11.example.com
Delhi Specialty Clinic 12,"Sector 60, Delhi",Delhi,28.766613,77.335969,dental|ent|ophthalmology,Care Health|HDFC ERGO|ICICI Lombard,4.0,+91-5619190708,https://www.delhi12.example.com
Delhi Multicare Hospital 13,"Sector 93, Delhi",Delhi,28.544782,77.322461,dermatology|ent|oncology|ophthalmology,HDFC ERGO|Niva Bupa|Star Health,4.6,+91-2611652895,https://www.delhi13.example.com
Delhi Specialty Clinic 14,"Sector 52, Delhi",Delhi,28.584024,77.215584,dental|dermatology|ent|neurology,Care Health|Niva Bupa|Star Health,4.7,+91-3267319207,https://www.delhi14.example.com
Delhi Multicare Hospital 15,"Sector 55, Delhi",Delhi,28.581864,77.071966,dental|dermatology|ent|physiotherapy,Care Health|ICICI Lombard|Star Health,4.4,+91-8740645629,https://www.delhi15.example.com
Delhi Specialty Clinic 16,"Sector 57, Delhi",Delhi,28.705209,77.150901,dental|oncology|physiotherapy,HDFC ERGO|ICICI Lombard|Star Health,4.3,+91-6995431399,https://www.delhi16.example.com
Delhi Multicare Hospital 17,"Sector 69, Delhi",Delhi,28.614031,77.271062,ophthalmology|pediatrics|physiotherapy,Care Health|HDFC ERGO|Niva Bupa,3.9,+91-2420079121,https://www.delhi17.example.com
Delhi Specialty Clinic 18,"Sector 8, Delhi",Delhi,28.578842,77.226044,dermatology|ophthalmology|pediatrics,Niva Bupa|Star Health,4.9,+91-3948720231,https://www.delhi18.example.com
Delhi Multicare Hospital 19,"Sector 23, Delhi",Delhi,28.64937,77.083598,dental|dermatology|ophthalmology|orthopedics,Niva Bupa|Star Health,4.1,+91-2038286329,https://www.delhi19.example.com
